seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_base_turn_noise,avg_exploration_drive,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
5,high,240,4,4,0.5,initial_food,960,180,13,57,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2749835029,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,51,31,0,0,0,0,0,0,0,66,1954,22,0,0,86,89,0.1034,0.105,0.002,0.002,3,1.17,0,22,0.48,0,240,25.9,59.2,0.24,13,0,13,57,0,3.25,0,0,0,198,11,0,0,0,31,0,0,0,0,22,0,0,0,0,0,31,0,0,29423,0,31935,0,0,0
5,high,240,4,4,0.5,relocated_early,220,620,2,8,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2622999787,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,51,31,0,1,0,1,0,0,0,71,1951,31,0,0,86,89,0.1058,0.105,0.022,0.004,4,1.22,0,31,0.48,0,240,25.9,59,0.25,15,0,15,65,0,3.333,0,0,0,199,10,0,0,0,31,0,0,0,0,31,0,0,0,0,0,31,0,0,36621,0,31018,0,0,0
5,high,240,4,4,0.5,relocated_late,220,620,52,284,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,400644599,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,158,51,32,0,0,0,0,0,0,0,344,1934,13,0,0,86,88,0.1036,0.1047,0.005,0.006,4,1.18,0,15,0.452,1,240,26,58.2,0.27,67,0,67,349,0,8.375,0,0,0,209,0,0,0,0,32,0,0,0,0,13,0,0,0,0,0,32,0,0,31762,0,31523,0,0,0
5,high,240,4,4,0.5,relocated_total,220,620,54,292,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,400644599,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,158,51,32,0,0,0,0,0,0,0,344,1934,13,0,0,86,88,0.1036,0.1047,0.005,0.006,4,1.18,0,15,0.452,1,240,26,58.2,0.27,67,0,67,349,0,8.375,0,0,0,209,0,0,0,0,32,0,0,0,0,13,0,0,0,0,0,32,0,0,31762,0,31523,0,0,0
6,high,240,4,4,0.5,initial_food,960,180,25,128,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3020917009,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,47,27,0,0,0,0,0,0,0,132,1951,13,0,0,86,90,0.1038,0.105,0.002,0.002,3,1.19,0,14,0.475,0,240,25.9,59.2,0.24,25,0,25,128,0,6.25,0,0,0,213,0,0,0,0,27,0,0,0,0,13,0,0,0,0,0,27,0,0,21247,0,32931,0,0,0
6,high,240,4,4,0.5,relocated_early,220,620,3,16,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,564041707,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,47,27,1,0,0,1,0,0,0,146,1948,20,0,0,85,90,0.1049,0.105,0.012,0.001,2,1.13,0,20,0.48,0,240,25.9,59,0.25,28,0,28,144,0,6.222,0,0,0,213,0,0,0,0,27,0,0,0,0,20,0,0,0,0,0,27,0,0,24565,0,32661,0,0,0
6,high,240,4,4,0.5,relocated_late,220,620,39,192,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,73378763,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,167,47,27,0,0,0,0,0,0,0,325,1931,12,0,0,84,89,0.1038,0.1049,0.003,0.003,4,1.19,0,12,0.48,0,241,26,58.2,0.27,67,0,67,336,0,8.375,0,0,0,214,0,0,0,0,27,0,1,0,0,12,0,0,0,0,0,27,0,0,27728,0,32817,0,0,0
6,high,240,4,4,0.5,relocated_total,220,620,42,208,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,73378763,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,167,47,27,0,0,0,0,0,0,0,325,1931,12,0,0,84,89,0.1038,0.1049,0.003,0.003,4,1.19,0,12,0.48,0,241,26,58.2,0.27,67,0,67,336,0,8.375,0,0,0,214,0,0,0,0,27,0,1,0,0,12,0,0,0,0,0,27,0,0,27728,0,32817,0,0,0
7,high,240,4,4,0.5,initial_food,960,180,13,60,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1361191022,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,155,54,31,0,0,0,0,0,0,0,65,1953,14,0,0,86,90,0.1037,0.105,0.002,0.004,3,1.17,0,14,0.48,0,240,25.9,59.2,0.24,13,0,13,60,0,3.25,0,0,0,201,8,0,0,0,31,0,0,0,0,14,0,0,0,0,0,31,0,0,16984,0,32802,0,0,0
7,high,240,4,4,0.5,relocated_early,220,620,1,3,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1945942115,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,155,54,31,0,1,0,1,0,0,0,66,1950,21,0,0,85,89,0.105,0.105,0.014,0.001,3,1.17,0,21,0.48,0,240,25.9,59,0.24,14,0,14,63,0,3.111,0,0,0,202,7,0,0,0,31,0,0,0,0,21,0,0,0,0,0,31,0,0,22203,0,31984,0,0,0
