seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
6,low,240,4,4,initial_food,250,180,197,983,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1658791073,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,0,0,0,0,0,0,998,1951,75,0,0,92,90,0.018,240,0,25.9,59.2,0.24,197,0,197,983,0,49.25,0,0,0,211,1,0,0,0,28,0,21,99,0,75,0,0,0,0,0,28,42457,0,21326,0,0,0
6,low,240,4,4,relocated_food,960,600,407,2003,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3838999594,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,1,0,1,0,0,0,2992,1921,29,3,0,95,91,0.018,240,0,26,58.2,0.27,604,0,604,2986,0,75.5,0,0,0,212,0,0,0,0,28,0,65,110,0,29,3,0,0,0,0,28,17113,471,24629,0,0,0
7,low,240,4,4,initial_food,250,180,239,1200,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2868521885,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,0,0,0,0,0,0,1216,1952,89,0,0,93,89,0.018,240,0,25.9,59.2,0.24,239,0,239,1200,0,59.75,0,0,0,210,1,0,0,0,29,0,28,70,0,89,0,0,0,0,0,29,32301,0,22323,0,0,0
7,low,240,4,4,relocated_food,960,600,286,1421,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2135004604,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,0,1,1,0,0,0,2628,1917,94,0,0,94,91,0.018,240,0,26,58.2,0.27,525,0,525,2621,0,65.625,0,0,0,211,0,0,0,0,29,0,13,97,0,94,0,0,0,0,0,29,56793,0,21716,0,0,0
8,low,240,4,4,initial_food,250,180,16,81,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1056749463,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,153,61,26,0,0,0,0,0,0,0,93,1956,124,0,0,86,90,0.018,240,0,25.9,59.2,0.24,16,0,16,81,0,4,0,0,0,134,80,0,0,0,26,0,14,71,0,124,0,0,0,0,0,26,77368,0,17308,0,0,0
8,low,240,4,4,relocated_food,960,600,266,1320,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1812687891,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,153,61,26,0,0,1,1,0,0,0,1393,1921,71,0,0,92,92,0.018,240,0,26,58.2,0.27,282,0,282,1401,0,35.25,0,0,0,214,0,0,0,0,26,0,59,68,0,71,0,0,0,0,0,26,25447,0,26963,0,0,0
1,medium,240,4,4,initial_food,250,180,71,358,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1698090172,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,373,1956,77,0,0,87,90,0.055,0,0,25.9,59.2,0.24,71,0,71,358,0,17.75,0,0,0,198,8,0,0,0,34,0,26,98,0,77,0,0,0,0,0,34,70645,0,24138,0,0,0
1,medium,240,4,4,relocated_food,960,600,247,1217,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3731808755,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,1,1,0,0,0,1571,1921,61,0,0,91,91,0.055,0,0,26,58.2,0.27,318,0,318,1575,0,39.75,0,0,0,206,0,0,0,0,34,0,45,91,0,61,0,0,0,0,0,34,51403,0,24675,0,0,0
2,medium,240,4,4,initial_food,250,180,92,452,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2265790520,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,466,1958,58,0,0,89,90,0.055,0,0,25.9,59.2,0.24,92,0,92,452,0,23,0,0,0,202,2,0,0,0,36,0,17,111,0,58,0,0,0,0,0,36,73311,0,22574,0,0,0
2,medium,240,4,4,relocated_food,960,600,182,898,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4005763400,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,1,0,1,0,0,0,1351,1927,59,0,0,92,90,0.055,0,0,26,58.2,0.27,274,0,274,1350,0,34.25,0,0,0,204,0,0,0,0,36,0,58,66,0,59,0,0,0,0,0,36,31695,0,26379,0,0,0
