seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,high,240,2,2,0.5,relocated_late,220,620,15,71,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1440835009,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,103,1959,14,0,0,86,89,0.105,0,4,1.17,0,15,0.457,0,240,25.9,59.2,0.24,20,0,20,94,0,5,0,0,0,198,8,0,0,0,34,0,0,0,0,14,0,0,0,0,0,34,0,0,27121,0,31397,0,0,0
1,high,240,2,2,0.5,relocated_total,220,620,20,94,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1440835009,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,103,1959,14,0,0,86,89,0.105,0,4,1.17,0,15,0.457,0,240,25.9,59.2,0.24,20,0,20,94,0,5,0,0,0,198,8,0,0,0,34,0,0,0,0,14,0,0,0,0,0,34,0,0,27121,0,31397,0,0,0
2,high,240,2,2,0.5,initial_food,960,180,5,32,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,47259705,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,50,1968,8,0,0,87,90,0.105,0,4,1.24,0,8,0.48,0,240,25.6,61.5,0.18,5,0,5,32,0,2.5,0,0,0,153,51,0,0,0,36,0,0,0,0,8,0,0,0,0,0,36,0,0,9063,0,30643,0,0,0
2,high,240,2,2,0.5,relocated_early,220,620,4,16,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3472760101,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,64,1965,14,0,0,87,90,0.105,0,3,1.2,0,15,0.48,0,240,25.7,60.7,0.2,9,0,9,48,0,3.6,0,0,0,199,5,0,0,0,36,0,0,0,0,14,0,0,0,0,0,36,0,0,14276,0,30934,0,0,0
2,high,240,2,2,0.5,relocated_late,220,620,10,48,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,4122658988,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,106,1957,17,0,0,86,90,0.105,0,4,1.23,0,17,0.48,0,240,25.9,59.2,0.24,19,0,19,96,0,4.75,0,0,0,201,3,0,0,0,36,0,0,0,0,17,0,0,0,0,0,36,0,0,28211,0,30647,0,0,0
2,high,240,2,2,0.5,relocated_total,220,620,14,64,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,4122658988,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,106,1957,17,0,0,86,90,0.105,0,4,1.23,0,17,0.48,0,240,25.9,59.2,0.24,19,0,19,96,0,4.75,0,0,0,201,3,0,0,0,36,0,0,0,0,17,0,0,0,0,0,36,0,0,28211,0,30647,0,0,0
3,high,240,2,2,0.5,initial_food,960,180,2,13,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3434524272,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,31,1967,9,0,0,87,90,0.105,0,3,1.22,0,9,0.48,0,240,25.6,61.5,0.18,2,0,2,13,0,1,0,0,0,2,215,0,0,0,23,0,0,0,0,9,0,0,0,0,0,23,0,0,7008,0,33135,0,0,0
3,high,240,2,2,0.5,relocated_early,220,620,2,10,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2946054644,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,40,1964,19,0,0,86,90,0.105,0,3,1.22,0,19,0.48,0,240,25.7,60.7,0.2,4,0,4,23,0,1.6,0,0,0,116,101,0,0,0,23,0,0,0,0,19,0,0,0,0,0,23,0,0,16383,0,33392,0,0,0
3,high,240,2,2,0.5,relocated_late,220,620,15,77,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3410653026,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,111,1956,20,0,0,86,90,0.105,0,3,1.21,0,22,0.467,0,240,25.9,59.2,0.24,19,0,19,100,0,4.75,0,0,0,209,8,0,0,0,23,0,0,0,0,20,0,0,0,0,0,23,0,0,34961,0,32222,0,0,0
3,high,240,2,2,0.5,relocated_total,220,620,17,87,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3410653026,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,111,1956,20,0,0,86,90,0.105,0,3,1.21,0,22,0.467,0,240,25.9,59.2,0.24,19,0,19,100,0,4.75,0,0,0,209,8,0,0,0,23,0,0,0,0,20,0,0,0,0,0,23,0,0,34961,0,32222,0,0,0
