seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_base_turn_noise,avg_exploration_drive,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,medium,240,2,2,0.5,initial_food,960,180,5,27,2,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,4019089159,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,50,1970,6,0,0,85,89,0.055,0.055,0.002,0.005,3,1.19,0,8,0.468,0,0,25.6,61.5,0.18,5,0,5,27,0,2.5,0,0,0,133,71,0,0,0,36,0,188,10,0,6,0,0,0,0,0,36,0,0,7009,0,31705,0,0,0
1,medium,240,2,2,0.5,relocated_early,220,620,4,18,2.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3076557242,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,67,1968,22,0,0,85,89,0.0549,0.055,0.006,0.003,4,1.19,0,24,0.521,0,0,25.7,60.7,0.2,9,0,9,45,0,3.6,0,0,0,199,5,0,0,0,36,0,152,27,0,22,0,0,0,0,0,36,0,0,17956,0,31674,0,0,0
1,medium,240,2,2,0.5,relocated_late,220,620,21,112,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2743428804,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,171,1957,37,0,0,85,89,0.0568,0.055,0.036,0.049,4,1.35,0,40,0.501,0,0,25.9,59.2,0.24,30,0,30,157,0,7.5,0,0,0,201,3,0,0,0,36,0,112,51,0,37,0,0,0,0,0,36,0,0,49603,0,29188,0,0,0
1,medium,240,2,2,0.5,relocated_total,220,620,25,130,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2743428804,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,171,1957,37,0,0,85,89,0.0568,0.055,0.036,0.049,4,1.35,0,40,0.501,0,0,25.9,59.2,0.24,30,0,30,157,0,7.5,0,0,0,201,3,0,0,0,36,0,112,51,0,37,0,0,0,0,0,36,0,0,49603,0,29188,0,0,0
2,medium,240,2,2,0.5,initial_food,960,180,2,11,2,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1646076412,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,33,1973,11,0,0,86,89,0.055,0.055,0.004,0.006,4,1.24,0,12,0.502,0,0,25.6,61.5,0.18,2,0,2,11,0,1,0,0,0,16,187,0,0,0,37,0,166,25,0,11,0,0,0,0,0,37,0,0,10315,0,31413,0,0,0
2,medium,240,2,2,0.5,relocated_early,220,620,3,20,2.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1924323645,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,51,1971,17,0,0,86,89,0.0561,0.055,0.02,0.026,6,1.3,0,17,0.534,0,1,25.7,60.7,0.2,5,0,5,31,0,2,0,0,0,174,29,0,0,0,37,0,134,50,0,17,0,0,0,0,0,37,0,0,16472,0,31603,0,0,0
2,medium,240,2,2,0.5,relocated_late,220,620,26,137,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2365937552,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,180,1959,26,0,0,86,89,0.0568,0.055,0.032,0.034,5,1.31,0,28,0.516,0,1,25.9,59.2,0.24,31,0,31,168,0,7.75,0,0,0,200,3,0,0,0,37,0,112,64,0,26,0,0,0,0,0,37,0,0,35481,0,29861,0,0,0
2,medium,240,2,2,0.5,relocated_total,220,620,29,157,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2365937552,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,180,1959,26,0,0,86,89,0.0568,0.055,0.032,0.034,5,1.31,0,28,0.516,0,1,25.9,59.2,0.24,31,0,31,168,0,7.75,0,0,0,200,3,0,0,0,37,0,112,64,0,26,0,0,0,0,0,37,0,0,35481,0,29861,0,0,0
3,medium,240,2,2,0.5,initial_food,960,180,2,10,2,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1529732228,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,32,1969,24,0,0,86,89,0.0548,0.055,0.005,0.007,3,1.2,0,24,0.533,0,0,25.6,61.5,0.18,2,0,2,10,0,1,0,0,0,17,194,0,0,0,29,0,144,38,0,24,0,0,0,0,0,29,0,0,21954,0,31578,0,0,0
3,medium,240,2,2,0.5,relocated_early,220,620,6,34,2.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,626588376,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,64,1965,28,0,0,86,89,0.0567,0.055,0.031,0.009,4,1.24,0,30,0.508,0,3,25.7,60.7,0.2,8,0,8,44,0,3.2,0,0,0,159,52,0,0,0,29,0,117,62,0,28,0,0,0,0,0,29,0,0,36718,0,31314,0,0,0
