seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
8,low,240,4,4,0.5,relocated_late,220,620,103,533,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2377446441,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,153,61,26,0,0,1,1,0,0,0,1203,1923,62,0,0,90,91,0.018,0.384,17,1.76,6,69,0.632,240,0,26,58.2,0.27,236,0,236,1209,0,29.5,0,0,0,214,0,0,0,0,26,0,83,67,0,62,0,0,0,0,0,26,0,0,25076,0,24511,0,0,0
8,low,240,4,4,0.5,relocated_total,220,620,129,665,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2377446441,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,153,61,26,0,0,1,1,0,0,0,1203,1923,62,0,0,90,91,0.018,0.384,17,1.76,6,69,0.632,240,0,26,58.2,0.27,236,0,236,1209,0,29.5,0,0,0,214,0,0,0,0,26,0,83,67,0,62,0,0,0,0,0,26,0,0,25076,0,24511,0,0,0
1,medium,240,4,4,0.5,initial_food,960,180,42,210,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3981902870,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,217,1952,65,0,0,87,90,0.055,0.208,12,1.64,2,74,0.509,0,0,25.9,59.2,0.24,42,0,42,210,0,10.5,0,0,0,194,12,0,0,0,34,0,62,76,0,65,0,0,0,0,0,34,0,0,61504,0,22559,0,0,0
1,medium,240,4,4,0.5,relocated_early,220,620,19,103,4.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1271841157,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,1,0,1,0,0,0,314,1944,48,0,0,88,91,0.055,0.222,9,1.67,5,55,0.513,0,0,25.9,59,0.25,61,0,61,313,0,13.556,0,0,0,198,8,0,0,0,34,0,60,97,0,48,0,0,0,0,0,34,0,1,51190,0,21919,0,0,0
1,medium,240,4,4,0.5,relocated_late,220,620,74,356,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3820201416,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,155,52,34,0,0,0,0,0,0,0,644,1918,25,0,0,90,91,0.055,0.128,9,1.5,1,29,0.496,0,0,26,58.2,0.27,135,0,135,669,0,16.875,0,0,0,207,0,0,0,0,34,0,107,72,0,25,0,0,0,0,0,34,0,0,26690,0,26565,0,0,0
1,medium,240,4,4,0.5,relocated_total,220,620,93,459,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3820201416,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,155,52,34,0,0,0,0,0,0,0,644,1918,25,0,0,90,91,0.055,0.128,9,1.5,1,29,0.496,0,0,26,58.2,0.27,135,0,135,669,0,16.875,0,0,0,207,0,0,0,0,34,0,107,72,0,25,0,0,0,0,0,34,0,0,26690,0,26565,0,0,0
2,medium,240,4,4,0.5,initial_food,960,180,19,96,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3490925336,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,107,1957,57,0,0,86,90,0.055,0.149,8,1.54,2,58,0.526,0,0,25.9,59.2,0.24,19,0,19,96,0,4.75,0,0,0,191,13,0,0,0,36,0,78,67,0,57,0,0,0,0,0,36,0,0,51993,0,26063,0,0,0
2,medium,240,4,4,0.5,relocated_early,220,620,18,93,4.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,949838536,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,1,0,0,1,0,0,0,194,1950,46,0,0,87,90,0.055,0.181,10,1.56,3,54,0.496,0,0,25.9,59,0.24,37,0,37,189,0,8.222,0,0,0,193,11,0,0,0,36,0,74,82,0,46,0,0,0,0,0,36,0,0,49471,0,23946,0,0,0
2,medium,240,4,4,0.5,relocated_late,220,620,83,431,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2657843871,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,1,1,0,0,0,596,1922,29,0,0,89,91,0.055,0.151,7,1.52,1,37,0.472,0,0,26,58.2,0.27,120,0,120,620,0,15,0,0,0,204,0,0,0,0,36,0,97,71,0,29,0,0,0,0,0,36,0,0,31643,0,25672,0,0,0
2,medium,240,4,4,0.5,relocated_total,220,620,101,524,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2657843871,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,1,1,0,0,0,596,1922,29,0,0,89,91,0.055,0.151,7,1.52,1,37,0.472,0,0,26,58.2,0.27,120,0,120,620,0,15,0,0,0,204,0,0,0,0,36,0,97,71,0,29,0,0,0,0,0,36,0,0,31643,0,25672,0,0,0
